Feature,Importance
Rating Count,0.20894852299351685
amber,0.03253278553990767
citrus,0.030944013752664153
warm spicy,0.028640731252060972
fruity,0.027861187490661566
floral,0.027539682561579838
aromatic,0.027087674183642222
musky,0.026789125933363963
white floral,0.026252451149749025
woody,0.026029515822748945
oud,0.023848553536129743
powdery,0.023769970647937923
vanilla,0.021262693918113296
fresh spicy,0.020990379559988587
green,0.020212446983823
rose,0.02014558527759231
fresh,0.020039589211725457
sweet,0.018681066219344566
earthy,0.017801971228718932
patchouli,0.01688713679564182
herbal,0.016712553018898877
balsamic,0.015844403165538177
animalic,0.014869010087555737
leather,0.014747663190761044
tropical,0.014441604759989261
ozonic,0.014423975923222691
lactonic,0.01380374630366409
soft spicy,0.012757743440658116
yellow floral,0.011756625410693463
aquatic,0.011468216387128164
lavender,0.01088699562415193
smoky,0.00997886212115757
tobacco,0.009567389932682639
nutty,0.00940885801751879
iris,0.009123503393392787
coconut,0.008915317517924938
mossy,0.008864857824643543
violet,0.008587976645575708
salty,0.006769079151343066
coffee,0.006693802733735722
tuberose,0.006660053550325679
honey,0.006439991529222538
almond,0.006416895859486013
metallic,0.005908832352589049
marine,0.005802873542191167
aldehydic,0.005720277747906597
cherry,0.005601371855226631
,0.005265518564147572
cinnamon,0.0048252140048780055
cannabis,0.004774053017500139
rum,0.004266805945946163
caramel,0.004031885161388419
chocolate,0.0037858265498130167
anis,0.0036081300828185786
cacao,0.003560320914916998
terpenic,0.0027799313587738503
wine,0.0022925719692986415
sand,0.0020555317530491423
savory,0.0020379718428005346
soapy,0.0019249918894582172
vodka,0.001603362812250294
conifer,0.0015791323210619652
mineral,0.001548499286382738
beeswax,0.0014557868588831132
Champagne,0.0014174892823296816
sour,0.0014051498383090815
oily,0.0012575270197267862
alcohol,0.0012288141046266337
whiskey,0.0011431477407683743
camphor,0.0011314001679258688
bitter,0.0008033243345960411
industrial glue,0.0005440326086864607
gasoline,0.00046983941872018987
gourmand,0.00036357117361663163
vinyl,0.00031270555743742996
asphault,7.701026469951235e-05
plastic,1.2889009095102428e-05
clay,0.0
bbq,0.0
brown scotch tape,0.0
Pear,0.0
bacon,0.0
coca-cola,0.0
hot iron,0.0
milky,0.0
meat,0.0
foresty,0.0
sake,0.0
rubber,0.0
paper,0.0
tennis ball,0.0
wet plaster,0.0
